Rvein,Rmeso
9.934212189166451e-5,5.639705926300964e-9
9.638192985213992e-5,7.469364777804456e-9
1.465330400952064e-4,7.457719373574256e-9
7.882744906669305e-5,6.6080378328830035e-9
8.292965879466866e-5,6.376403447591319e-9
1.4098248258193077e-4,6.341422980716207e-9
1.952436996592241e-4,6.497147856387019e-9
9.314130372137357e-5,5.310196878660042e-9
1.0367527276984714e-4,5.3003152231925015e-9
1.0697843983500096e-4,4.954089195875406e-9
7.400058527953726e-5,5.904856824892487e-9
1.1720939771224703e-4,6.297018373560536e-9
1.8565654832160576e-4,4.6014655564637395e-9
9.727487562434128e-5,5.596757846518604e-9
1.2533816035552073e-4,5.608104485124149e-9
7.127934867470229e-5,5.6992641460771324e-9
1.1352725800149548e-4,4.289040655499296e-9
1.0943464707079573e-4,8.700138134052486e-9
9.942454906077008e-5,4.470549163546771e-9
8.65444319646692e-5,4.757160245155126e-9
1.7556652485375135e-4,4.216941808095605e-9
1.3687161779580412e-4,4.656008227033402e-9
9.669713032032717e-5,6.0413330248836024e-9
6.565989481566608e-5,7.94927833787973e-9
6.137948909681814e-5,6.280739718916513e-9
6.690606222748942e-5,6.805623974469501e-9
6.887792320198701e-5,8.539097109805102e-9
1.0600116839233739e-4,4.341691914331774e-9
1.01662313489983e-4,4.499320455256684e-9
7.175149292670967e-5,5.672793892591216e-9
8.118063915241687e-5,5.600928810921707e-9
1.1963771531052204e-4,5.440000681671111e-9
1.054606143217274e-4,6.822483450194433e-9
1.6815094917552593e-4,3.3552748506827396e-9
5.9062053579705734e-5,6.38368812009117e-9
9.314578830911077e-5,6.021386321859406e-9
2.4860958218654166e-4,2.7762186265770977e-9
7.385895390981691e-5,4.759157192791974e-9
6.839437086439465e-5,6.546398899307874e-9
8.257967819894447e-5,6.898719342228036e-9
9.161340522798003e-5,4.7710387727602874e-9
7.206949659495257e-5,6.025336507958845e-9
7.20679160277204e-5,6.82559059188237e-9
8.766394863397718e-5,5.768448702431794e-9
1.673943400144608e-4,4.343421308729956e-9
1.1559864133546255e-4,5.803684056779236e-9
9.215386084564249e-5,5.096116216722272e-9
1.1176059261419177e-4,8.280118452871558e-9
2.0112915303248125e-4,4.5406682857040865e-9
9.58914336884163e-5,5.69378195265628e-9
8.618404364495767e-5,6.519606199216404e-9
7.155537348377574e-5,4.868870318477392e-9
1.2682916944272202e-4,6.051264141772035e-9
1.1152277236385445e-4,4.380341748395954e-9
1.5288664036113665e-4,4.534953478027599e-9
1.3326236139392297e-4,5.574808622768402e-9
1.0806429970946417e-4,6.333683897462236e-9
1.3663386092031498e-4,5.422126487670416e-9
7.368308933726342e-5,6.347977646101231e-9
1.147766015366716e-4,9.372747944043493e-9
1.7752728058331398e-4,4.0547259340330535e-9
1.306904672922382e-4,6.692552356521941e-9
1.7387798295699595e-4,4.94624293775697e-9
1.0455693528301563e-4,4.88960272414286e-9
7.383591952759556e-5,8.29658126152274e-9
2.208426004747605e-4,4.052869258718885e-9
1.0435461435153073e-4,4.543772769817554e-9
5.973080621525274e-5,7.187717672732375e-9
9.302209894338417e-5,5.619958279284013e-9
1.976551812465909e-4,6.300325441913379e-9
6.955232855186342e-5,6.841265168572572e-9
1.072979062471786e-4,5.621724855001348e-9
6.389876027606105e-5,5.428640060224906e-9
1.2366884993669338e-4,5.042411598691432e-9
9.71138886014069e-5,7.338007319233137e-9
7.865427823705733e-5,5.118672024112129e-9
1.2040998589064648e-4,5.579281934468004e-9
6.10870752186575e-5,7.007571929697823e-9
1.8579079536814805e-4,3.6378131444154523e-9
1.4243625998747926e-4,4.558219297117379e-9
1.0703054585383095e-4,5.021898265576304e-9
1.3191399833676628e-4,4.85438948472177e-9
1.560703681518394e-4,4.673815888446505e-9
7.399819828360105e-5,7.28727495944213e-9
2.017507897012655e-5,2.368839725225172e-9
1.0998820935833147e-4,7.85922650080147e-9
1.2113873269503946e-4,4.250511755068061e-9
1.473021403532682e-4,4.998406533042262e-9
7.113549052302244e-5,9.315577903385728e-9
1.0351551116874497e-4,6.2505264304342375e-9
8.706380595890167e-5,7.21820647435104e-9
5.9786359094347085e-5,6.535834203854773e-9
9.046142281130174e-5,5.71423123410179e-9
9.445859590714852e-5,4.6494561453211734e-9
1.2334442205463522e-5,1.1648069151529176e-9
8.438910675188533e-5,7.022206793704863e-9
8.968705762019197e-5,4.102668333624487e-9
1.028034963243047e-4,5.741217638977902e-9
1.6478239195839077e-5,1.0331241410077344e-9
1.0707956681392979e-4,4.984825682812901e-9
1.0817587703629462e-4,4.78506463954099e-9
1.0320138143914588e-4,5.1476165727623e-9
9.18906765177913e-5,8.67727013425088e-9
2.403099887896469e-4,3.4321528783558755e-9
6.539162097530085e-5,4.1263211592974115e-9
6.955913311658434e-5,6.06170504994225e-9
8.854565211205938e-5,5.541703462848025e-9
6.797772594070298e-5,1.116732216877549e-8
7.397218207621132e-5,8.397831677948316e-9
6.934897553322092e-5,7.101118591413927e-9
7.254290201680973e-5,9.824793336028319e-9
8.533691231289038e-5,6.5158646090925125e-9
2.2345439617915688e-4,4.889296757387305e-9
1.7475085226003814e-4,4.304761439762629e-9
1.0916850791372362e-4,5.019142152831496e-9
1.6711037775562245e-4,5.135181540312832e-9
1.8964226438439498e-4,3.6165028134646137e-9
8.671109282434229e-5,4.385079015549707e-9
1.4319389293659672e-4,4.617710258253164e-9
1.1308254376577568e-4,5.344359261801489e-9
7.33241838971923e-5,7.778565493806697e-9
1.2932079620112525e-5,1.3153303320053777e-9
9.023796671932984e-5,6.24675787656487e-9
5.531170392849574e-5,5.219532423468866e-9
9.77724777760018e-5,5.5335952134763605e-9
1.0303361062934654e-4,4.9903677118144835e-9
1.0408085509237682e-4,8.260286072118783e-9
6.60845957477813e-5,7.0010306706953955e-9
1.6110888694779828e-5,6.993165908148828e-10
1.0963250915463518e-4,7.722821575852384e-9
6.665771094933591e-5,6.9810224575758605e-9
9.34248744054936e-5,7.108502978440989e-9
7.842132028529873e-5,5.4210321407388376e-9
7.942705937397431e-5,7.337623605154845e-9
9.608792035946616e-5,6.105799820117705e-9
1.691559988187853e-4,3.60505685193057e-9
1.0526007845644797e-4,5.249883590287878e-9
1.9235099822316828e-4,4.309847489329546e-9
7.298291022799492e-5,7.169398682769731e-9
9.843117381010138e-5,6.1605098001583825e-9
6.413550083219257e-5,5.1969356117072745e-9
1.0817096048434546e-4,5.0299440448594966e-9
1.2790831173101688e-4,4.290034445221912e-9
9.87543875350849e-5,7.51029271556316e-9
1.365488723802291e-4,4.680734351937579e-9
7.072521505057679e-5,6.036296401368742e-9
1.6224297630844172e-4,4.842980879558244e-9
7.191556164676788e-5,2.1913220758077623e-8
7.123172442508624e-5,6.0620506545586e-9
1.2221064172605696e-4,5.870189330639401e-9
1.0221787268698984e-4,7.793123443765127e-9
9.776244093338596e-5,7.318216144665613e-9
1.741480957813488e-5,1.082685713417915e-9
7.870783480524258e-5,7.497951628112454e-9
1.1053756195261303e-4,4.927343462029725e-9
8.754453562376384e-5,7.1343081825958074e-9
1.4641116086943094e-4,5.186987138572433e-9
9.268984171900268e-5,6.310561543556041e-9
1.7823876168820478e-5,1.1379199467408105e-9
9.64119903609458e-5,5.920434816669393e-9
2.007522811102182e-4,2.105050044459886e-8
1.2229501990627072e-4,3.82633815604688e-9
1.1677641314133793e-4,4.642137555966009e-9
7.632372732993209e-5,6.231294797714686e-9
1.789056081639905e-5,9.101823187039933e-10
6.154569051007052e-5,6.140573682133378e-9
1.5384863436202005e-4,4.293398721315e-9
1.3101079684907312e-4,3.847610954231722e-9
2.0382921941529034e-4,3.952891830718344e-9
1.2589136047045854e-4,5.97146371533375e-9
1.1036780509788858e-4,5.1835358818403056e-9
7.79108593618686e-5,9.451695427716374e-9
1.4737253610174812e-4,2.771090941290623e-9
1.0015568382999235e-4,5.256933690722903e-9
7.871139290498478e-5,5.398890750356546e-9
6.347792877225973e-5,5.962183895887727e-9
1.3224213184237534e-4,3.371972891985576e-9
1.3879736999315904e-4,4.240554012774552e-9
9.177103357486218e-5,6.257011356429412e-9
1.2058170857622862e-4,5.4897026539569394e-9
1.1996409599881935e-4,6.316389225631555e-9
1.528029508194463e-4,5.745040184517593e-9
1.705536358818187e-4,4.3687750476310874e-9
7.751432557369026e-5,6.182179618713263e-9
5.395175978231128e-6,2.3807250970870235e-10
7.015207495567913e-5,6.963472232873416e-9
7.180524435472755e-5,5.211455224236988e-9
1.9664813552124844e-5,7.330932456347205e-10
8.398616324148503e-5,5.57745252051238e-9
6.645554974131992e-5,6.068311558783684e-9
7.036823548455247e-5,5.513338376247585e-9
1.070094934188792e-5,5.784408852461475e-10
1.094581125706497e-4,3.846977031781612e-9
8.473485818064866e-5,8.035795832569311e-9
1.0354566388694966e-4,4.587993926381699e-9
7.288865547068853e-5,5.064858480377554e-9
8.568462682252226e-5,6.250385850232972e-9
1.853053503654209e-4,3.28819640712758e-9
6.0121013367758326e-5,4.0315181140089145e-9
8.16747917783109e-5,5.1986273271793e-9
9.648412416861492e-5,4.0298116877387745e-9
1.6865367272067214e-4,4.57956264044261e-9
7.330333526341551e-5,7.406197874908346e-9
8.552486721387508e-5,4.240557564438439e-9
1.6975972053494148e-4,3.794376452853443e-9
1.852303322877895e-4,5.282401503473797e-9
9.568990034085775e-5,6.093661118135031e-9
9.63942543713166e-6,1.1006210887956297e-9
1.3754151855452533e-4,3.9640003627913035e-9
9.689305071835502e-5,4.945487411315064e-9
1.326977541565747e-4,4.278644612940777e-9
8.804835030940828e-5,4.617495234182896e-9
1.0357144660106081e-4,5.642502472997624e-9
1.1191290717650321e-4,4.248476523276034e-9
1.2045786447862338e-5,1.5229171241520469e-9
2.3333629446964707e-4,4.065074104966872e-9
8.134081214596646e-5,6.446930044468019e-9
1.2707399941231916e-4,4.47129859013839e-9
5.386837089998646e-5,4.226945742776827e-9
1.411995452711744e-5,2.589813876452525e-10
1.8000250010060097e-4,5.584864926239819e-9
3.2353751271097793e-6,1.2040947783219196e-10
1.3208662993124433e-4,1.7877937070871315e-9
2.061485402015181e-5,8.934235722754298e-10
4.814842979545212e-5,1.6096923376445727e-9
1.5563198377311502e-5,1.0543057342671678e-9
1.822473953287815e-4,2.804979560241752e-9
3.941359407667251e-5,1.4934988386987304e-9
4.0420086712396184e-4,4.062246737950303e-9
4.6971797515696936e-5,3.216768632638255e-9
1.7058380531221495e-4,4.576480472536767e-9
5.797199224046714e-5,4.9537969131547755e-9
1.946394117371477e-4,1.0522993453568467e-8
1.5435685839280033e-4,6.7534049006792255e-9
8.289997598035042e-5,3.607610215574061e-9
1.1051820521295107e-4,5.542408142375922e-9
5.663432410858702e-5,1.2761183276082372e-9
3.1980267623688447e-4,4.506731020064698e-9
5.819185408136256e-5,1.2763441575548534e-9
1.8812987670469933e-4,2.4630418249951295e-9
2.582749065107749e-4,9.033039559166947e-9
1.609979918696043e-4,4.687660587361803e-9
1.5644470369934968e-4,1.1497760362682408e-8
1.1193208751368872e-4,8.382858254091611e-9
7.947892044134525e-5,4.3004423205840736e-9
3.616920405026021e-5,2.3080909395676555e-9
2.5018926065908145e-4,5.904444457219464e-9
1.0339039100931044e-4,9.579857397684496e-9
2.8043161482084895e-4,8.142544327118887e-9
3.001446984027487e-4,5.926460266962769e-9
1.661131777131976e-4,4.649876661638636e-9
3.226112042942638e-4,6.534220500234531e-9
9.500225972080635e-5,7.644866051026966e-9
1.3836419456420728e-4,6.716063818352862e-9
8.8345896334493e-5,1.5905640499187768e-9
3.933665156470882e-5,3.4325001120371392e-9
4.301071066604119e-4,4.354254616881158e-9
1.5444458295983402e-4,3.508599655300615e-9
2.5310464795167395e-5,2.5366534852944002e-9
9.649539848024726e-5,6.678690245417516e-9
1.375229383339812e-4,4.014120849123671e-9
2.3136003905489106e-4,7.957079108807622e-9
1.8836288712003647e-4,4.409578053732022e-9
1.2504450380314844e-4,4.003674420377561e-9
2.5392713400449086e-4,5.474819952579604e-9
1.9940024915454332e-4,2.593045824207439e-9
2.8388518976856688e-5,6.060406305543161e-10
7.823990357851509e-5,3.069232071443428e-9
9.806092469338762e-5,3.5117689673425623e-9
4.118244024689951e-5,1.3759834013169767e-9
4.566955005622453e-5,1.4777450606315095e-9
1.1978548030082708e-4,3.9616327145140664e-9
2.469001100647591e-5,9.899658290969532e-10
2.6975630749524087e-4,6.0884715242200595e-9
1.673673914568231e-4,7.240909134263442e-9
3.1192609215942486e-5,2.116722504352928e-9
7.938812183949504e-5,5.911472115194738e-9
1.900088413792184e-4,9.486521814566052e-9
1.0628191656433377e-4,7.405992785127924e-9
8.259385425336279e-5,6.322354065401478e-9
1.3056386933690074e-4,6.231906950666465e-9
1.8859969845790505e-4,8.151759455092406e-9
1.1896293586437805e-4,8.183013713695231e-9
3.712484622813346e-5,1.4916132571332954e-9
1.5290432861789503e-4,8.47156601944094e-9
2.4144061096666148e-4,6.6053375505631085e-9
1.0007510397284721e-4,5.042575962201855e-9
1.6023775834668555e-4,3.782760779579684e-9
1.7216336606771374e-4,4.83657560281063e-9
1.8758246093201344e-4,6.817583600222575e-9
2.3776036252113453e-4,5.314797192822381e-9
1.8998028354283626e-4,3.095872299687489e-9
1.1400338297150714e-4,3.982213639081758e-9
4.5776065532010174e-5,2.151681231579422e-9
2.3966487268714683e-4,6.603731182476212e-9
1.06884873811749e-4,3.095767207667797e-9
7.18697885500611e-5,1.3789069643023864e-9
1.1219972684475917e-4,4.9815263490392015e-9
1.1450872059187151e-4,4.8570379809857694e-9
5.041705512031852e-5,2.3355418284465677e-9
3.201784624329858e-5,1.7282088066506585e-9
1.586220928469366e-4,3.769346997947659e-9
1.0187120757590723e-4,4.001148886144174e-9
3.58800694311571e-4,4.834514345194256e-9
1.495480513848556e-4,1.0700314288306352e-8
5.999857580915711e-4,6.120409733976972e-9
1.4009638221861405e-4,1.0011941861873947e-8
1.9891679381192572e-4,3.4592724940554667e-9
1.5312650161345844e-4,6.632434367470453e-9
1.9123956574291235e-4,1.0383108947739496e-8
1.6036459464280426e-4,7.547203197176469e-9
1.1356400734139262e-4,3.082410473707759e-9
1.4860671123003167e-5,9.780540262842392e-10
6.139399821620098e-5,2.687288967496199e-9
4.1395156116281687e-4,6.40080826808295e-9
6.794707626831457e-5,5.305254672489806e-9
1.1442383806395302e-4,1.707121924323517e-8
5.040410206522309e-4,7.176790710408257e-9
1.5807158050208463e-4,4.210595560688668e-9
2.7996961522479246e-5,1.9729959182400547e-9
2.0825853308901687e-4,3.434273330292192e-9
1.0244667710316405e-4,4.014001503035995e-9
4.1716682548855256e-5,2.217945018583584e-9
5.80026652643822e-4,7.4412263422187e-9
8.079248596726191e-5,4.7442761864255175e-9
1.2757284658899295e-4,4.1277799982278995e-9
7.942489383740806e-5,4.661625556124459e-9
1.7200234238302285e-4,3.6380047287846205e-9
1.0282317625285246e-4,1.4331742320931237e-8
7.620219159130125e-5,5.2573053345008704e-9
1.4565570623329042e-4,3.409850765543694e-9
1.0847969704140175e-4,9.140466102071847e-9
2.4417300827149735e-4,8.808008799793803e-9
2.18167163228531e-4,9.165474248929145e-9
1.1646164406153298e-4,2.4215082175285967e-9
2.895594356842759e-5,2.65152037767793e-9
6.341500374986701e-5,5.7655244187737515e-9
4.560914863054597e-5,2.624772869954953e-9
9.097108559606273e-5,6.7771281700348384e-9
8.63848820249705e-5,6.458070964770826e-9
4.73602597771423e-5,2.346822426475649e-9
1.6686360712521038e-4,9.819685400777378e-9
1.0853414876139947e-4,7.420116146243806e-9
7.329286077814573e-5,1.134026177926585e-8
7.518811157348748e-5,4.024977294841718e-9
3.908637652505791e-5,3.1244826892034546e-9
1.347611295879184e-4,1.3399666458445299e-8
1.3502125650948684e-4,1.17863268598444e-8
1.1691000712905481e-4,6.086492474297585e-9
7.401206148468816e-5,6.094746418103397e-9
1.7450008695987776e-4,4.776972836060897e-9
1.9012248168145206e-4,2.862826616554361e-9
1.0063818530580412e-4,9.01350302735337e-9
8.734452071267569e-5,5.813624594558427e-9
1.6004490739368065e-4,4.254769002952083e-9
1.294336723221815e-4,5.934515276380314e-9
1.020496712602873e-4,3.156865412971767e-9
1.5139585939242498e-4,9.128596998007616e-9
3.480832699140156e-5,3.053508036998098e-9
7.837211826691575e-5,8.568225759345954e-9
1.3261668623797625e-4,4.026976369306283e-9
1.656234983182208e-4,6.973197817114277e-9
6.379465412881496e-5,6.760129933527869e-9
8.47405161033113e-5,4.747531608137241e-9
1.5489569993981024e-4,9.754492074845676e-9
7.840206013816108e-5,6.194341895166528e-9
3.634101978382616e-5,3.864207652106837e-9
6.540628457906754e-5,5.497654246578638e-9
4.571698844957639e-5,2.604317471435955e-9
4.292701551599371e-5,2.9402081297525707e-9
8.977905161309667e-5,5.778715722261041e-9
1.2260970616227352e-4,3.416742140010252e-9
4.0681263108386517e-4,7.021037160196353e-9
1.006971752209797e-4,3.573444485553421e-9
7.083342181904046e-5,6.66301173395245e-9
1.3769846964354444e-4,3.805835770734224e-9
5.761976890660079e-4,6.094900080684647e-9
1.0904328723650046e-4,3.9652239176566e-9
9.229174164607097e-5,4.937856640305146e-9
2.868670212942101e-4,1.51639057181525e-8
1.2290911144420238e-4,6.3713617726460784e-9
1.3017451211111623e-4,8.35359848514492e-9
7.236752656060899e-5,5.836358132959898e-9
2.8222599938460024e-4,1.0596340056882188e-8
3.801315936655486e-5,3.671959158893257e-9
2.975893725134533e-4,5.220947498320603e-9
1.269555752714276e-4,4.712614785700183e-9
9.707388725829546e-5,5.076345753541705e-9
1.0671858350672112e-4,8.788299244999651e-9
1.2604342195502965e-4,4.018842446386112e-9
7.468891051901981e-5,5.188144450299489e-9
0.00013935679995105607,1.4089595683436919e-008
1.4007564187476393e-4,1.1914538301953583e-8
3.52130003679973e-5,3.1443043228389734e-9
4.8148865626727557e-4,5.839493544460144e-9
2.3134875936137023e-4,1.1739443246476895e-8
1.970915066665345e-4,1.0452377451968594e-8
6.415539530306827e-5,8.540386205816395e-9
6.932458442545745e-5,6.046534204984387e-9
